-DOCSTART- -X- O
I -X- _ O
need -X- _ O
to -X- _ O
file -X- _ O
my -X- _ O
incometax -X- _ O
return -X- _ O
, -X- _ O
please -X- _ O
share -X- _ O
the -X- _ O
statement -X- _ O
for -X- _ O
the -X- _ O
year -X- _ O
22 -X- _ O
- -X- _ O
23 -X- _ O
( -X- _ O
February -X- _ B-Bank_Statement
20 -X- _ I-Bank_Statement
, -X- _ I-Bank_Statement
23 -X- _ I-Bank_Statement
to -X- _ I-Bank_Statement
Vovember -X- _ I-Bank_Statement
31 -X- _ I-Bank_Statement
, -X- _ I-Bank_Statement
23 -X- _ I-Bank_Statement
) -X- _ O
of -X- _ O
Account -X- _ O
Number -X- _ O
: -X- _ O
736775 -X- _ B-Account_Number

I -X- _ O
need -X- _ O
to -X- _ O
file -X- _ O
my -X- _ O
incometax -X- _ O
return -X- _ O
, -X- _ O
please -X- _ O
share -X- _ O
the -X- _ O
statement -X- _ O
for -X- _ O
the -X- _ O
year -X- _ O
22 -X- _ O
- -X- _ O
23 -X- _ O
( -X- _ O
August -X- _ B-Bank_Statement
22 -X- _ I-Bank_Statement
, -X- _ I-Bank_Statement
23 -X- _ I-Bank_Statement
to -X- _ I-Bank_Statement
December -X- _ I-Bank_Statement
31 -X- _ I-Bank_Statement
, -X- _ I-Bank_Statement
23 -X- _ I-Bank_Statement
) -X- _ O
of -X- _ O
Account -X- _ O
Number -X- _ O
: -X- _ O
736775 -X- _ B-Account_Number

I -X- _ O
have -X- _ O
not -X- _ O
received -X- _ O
my -X- _ O
statement -X- _ O
and -X- _ O
this -X- _ O
is -X- _ O
the -X- _ O
Second -X- _ O
time -X- _ O
i -X- _ O
am -X- _ O
sending -X- _ O
this -X- _ O
mail. -X- _ O
Please -X- _ O
send -X- _ O
my -X- _ O
statement -X- _ O
immediately -X- _ O
my -X- _ O
account -X- _ O
details -X- _ O
: -X- _ O
736375 -X- _ B-Account_Number
, -X- _ O
from -X- _ O
May -X- _ B-Bank_Statement
to -X- _ I-Bank_Statement
July -X- _ I-Bank_Statement

I -X- _ O
hold -X- _ O
an -X- _ O
account -X- _ O
with -X- _ O
the -X- _ O
account -X- _ O
number -X- _ O
731775 -X- _ B-Account_Number
at -X- _ O
your -X- _ O
bank -X- _ O
, -X- _ O
and -X- _ O
I -X- _ O
require -X- _ O
a -X- _ O
bank -X- _ O
statement -X- _ O
for -X- _ O
the -X- _ O
past -X- _ O
six -X- _ O
months -X- _ O
March -X- _ B-Bank_Statement
to -X- _ I-Bank_Statement
July -X- _ I-Bank_Statement
